date,year,month,day,doy,alb
2001-01-01,2001,1,1,1,0.828
2001-01-02,2001,1,2,2,0.849
2001-01-03,2001,1,3,3,0.850
2001-01-04,2001,1,4,4,0.850
2001-01-05,2001,1,5,5,0.850
2001-01-06,2001,1,6,6,0.849
2001-01-07,2001,1,7,7,0.850
2001-01-08,2001,1,8,8,0.850
2001-01-09,2001,1,9,9,0.850
2001-01-10,2001,1,10,10,0.850
2001-01-11,2001,1,11,11,0.938
2001-01-12,2001,1,12,12,0.911
2001-01-13,2001,1,13,13,0.905
2001-01-14,2001,1,14,14,0.850
2001-01-15,2001,1,15,15,0.849
2001-01-16,2001,1,16,16,0.850
2001-01-17,2001,1,17,17,0.850
2001-01-18,2001,1,18,18,0.850
2001-01-19,2001,1,19,19,0.872
2001-01-20,2001,1,20,20,0.849
2001-01-21,2001,1,21,21,0.850
2001-01-22,2001,1,22,22,0.879
2001-01-23,2001,1,23,23,0.872
2001-01-24,2001,1,24,24,0.906
2001-01-25,2001,1,25,25,0.865
2001-01-26,2001,1,26,26,0.881
2001-01-27,2001,1,27,27,0.973
2001-01-28,2001,1,28,28,0.931
2001-01-29,2001,1,29,29,0.876
2001-01-30,2001,1,30,30,0.871
2001-01-31,2001,1,31,31,0.849
2001-02-01,2001,2,1,32,0.858
2001-02-02,2001,2,2,33,0.861
2001-02-03,2001,2,3,34,0.876
2001-02-04,2001,2,4,35,0.850
2001-02-05,2001,2,5,36,0.850
2001-02-06,2001,2,6,37,0.850
2001-02-07,2001,2,7,38,0.849
2001-02-08,2001,2,8,39,0.883
2001-02-09,2001,2,9,40,0.840
2001-02-10,2001,2,10,41,nan
2001-02-11,2001,2,11,42,0.861
2001-02-12,2001,2,12,43,0.850
2001-02-13,2001,2,13,44,0.850
2001-02-14,2001,2,14,45,0.862
2001-02-15,2001,2,15,46,0.857
2001-02-16,2001,2,16,47,0.858
2001-02-17,2001,2,17,48,0.850
2001-02-18,2001,2,18,49,0.850
2001-02-19,2001,2,19,50,0.850
2001-02-20,2001,2,20,51,0.850
2001-02-21,2001,2,21,52,0.850
2001-02-22,2001,2,22,53,0.850
2001-02-23,2001,2,23,54,0.862
2001-02-24,2001,2,24,55,0.855
2001-02-25,2001,2,25,56,0.933
2001-02-26,2001,2,26,57,0.854
2001-02-27,2001,2,27,58,0.902
2001-02-28,2001,2,28,59,0.885
2001-03-01,2001,3,1,60,0.889
2001-03-02,2001,3,2,61,0.876
2001-03-03,2001,3,3,62,0.882
2001-03-04,2001,3,4,63,0.898
2001-03-05,2001,3,5,64,0.863
2001-03-06,2001,3,6,65,0.858
2001-03-07,2001,3,7,66,0.858
2001-03-08,2001,3,8,67,0.871
2001-03-09,2001,3,9,68,0.850
2001-03-10,2001,3,10,69,0.822
2001-03-11,2001,3,11,70,0.874
2001-03-12,2001,3,12,71,0.850
2001-03-13,2001,3,13,72,0.856
2001-03-14,2001,3,14,73,0.853
2001-03-15,2001,3,15,74,0.798
2001-03-16,2001,3,16,75,0.850
2001-03-17,2001,3,17,76,0.835
2001-03-18,2001,3,18,77,0.865
2001-03-19,2001,3,19,78,0.869
2001-03-20,2001,3,20,79,nan
2001-03-21,2001,3,21,80,0.864
2001-03-22,2001,3,22,81,0.914
2001-03-23,2001,3,23,82,0.893
2001-03-24,2001,3,24,83,0.890
2001-03-25,2001,3,25,84,0.863
2001-03-26,2001,3,26,85,0.862
2001-03-27,2001,3,27,86,0.883
2001-03-28,2001,3,28,87,0.869
2001-03-29,2001,3,29,88,0.850
2001-03-30,2001,3,30,89,0.894
2001-03-31,2001,3,31,90,0.881
2001-04-01,2001,4,1,91,0.876
2001-04-02,2001,4,2,92,0.872
2001-04-03,2001,4,3,93,0.880
2001-04-04,2001,4,4,94,0.874
2001-04-05,2001,4,5,95,0.841
2001-04-06,2001,4,6,96,0.880
2001-04-07,2001,4,7,97,0.875
2001-04-08,2001,4,8,98,0.873
2001-04-09,2001,4,9,99,0.863
2001-04-10,2001,4,10,100,0.858
2001-04-11,2001,4,11,101,0.821
2001-04-12,2001,4,12,102,0.851
2001-04-13,2001,4,13,103,0.847
2001-04-14,2001,4,14,104,0.853
2001-04-15,2001,4,15,105,0.850
2001-04-16,2001,4,16,106,0.837
2001-04-17,2001,4,17,107,0.838
2001-04-18,2001,4,18,108,0.858
2001-04-19,2001,4,19,109,0.860
2001-04-20,2001,4,20,110,0.834
2001-04-21,2001,4,21,111,0.848
2001-04-22,2001,4,22,112,0.850
2001-04-23,2001,4,23,113,0.823
2001-04-24,2001,4,24,114,0.851
2001-04-25,2001,4,25,115,nan
2001-04-26,2001,4,26,116,nan
2001-04-27,2001,4,27,117,0.828
2001-04-28,2001,4,28,118,0.835
2001-04-29,2001,4,29,119,nan
2001-04-30,2001,4,30,120,0.822
2001-05-01,2001,5,1,121,0.816
2001-05-02,2001,5,2,122,0.819
2001-05-03,2001,5,3,123,0.822
2001-05-04,2001,5,4,124,0.836
2001-05-05,2001,5,5,125,0.824
2001-05-06,2001,5,6,126,0.833
2001-05-07,2001,5,7,127,0.796
2001-05-08,2001,5,8,128,0.814
2001-05-09,2001,5,9,129,0.832
2001-05-10,2001,5,10,130,0.828
2001-05-11,2001,5,11,131,0.828
2001-05-12,2001,5,12,132,0.809
2001-05-13,2001,5,13,133,0.828
2001-05-14,2001,5,14,134,0.821
2001-05-15,2001,5,15,135,0.792
2001-05-16,2001,5,16,136,0.809
2001-05-17,2001,5,17,137,0.828
2001-05-18,2001,5,18,138,0.828
2001-05-19,2001,5,19,139,0.816
2001-05-20,2001,5,20,140,0.800
2001-05-21,2001,5,21,141,0.799
2001-05-22,2001,5,22,142,0.799
2001-05-23,2001,5,23,143,0.750
2001-05-24,2001,5,24,144,0.774
2001-05-25,2001,5,25,145,0.802
2001-05-26,2001,5,26,146,0.817
2001-05-27,2001,5,27,147,0.812
2001-05-28,2001,5,28,148,0.810
2001-05-29,2001,5,29,149,0.771
2001-05-30,2001,5,30,150,0.824
2001-05-31,2001,5,31,151,0.827
2001-06-01,2001,6,1,152,0.793
2001-06-02,2001,6,2,153,0.783
2001-06-03,2001,6,3,154,0.799
2001-06-04,2001,6,4,155,0.807
2001-06-05,2001,6,5,156,0.819
2001-06-06,2001,6,6,157,0.793
2001-06-07,2001,6,7,158,0.909
2001-06-08,2001,6,8,159,0.929
2001-06-09,2001,6,9,160,0.918
2001-06-10,2001,6,10,161,0.927
2001-06-11,2001,6,11,162,0.927
2001-06-12,2001,6,12,163,0.924
2001-06-13,2001,6,13,164,0.907
2001-06-14,2001,6,14,165,nan
2001-06-15,2001,6,15,166,0.914
