date,year,month,day,doy,alb,alb_rejected
2022-01-01,2022,1,1,1,nan,nan
2022-01-02,2022,1,2,2,nan,nan
2022-01-03,2022,1,3,3,nan,nan
2022-01-04,2022,1,4,4,nan,nan
2022-01-05,2022,1,5,5,nan,nan
2022-01-06,2022,1,6,6,nan,nan
2022-01-07,2022,1,7,7,nan,nan
2022-01-08,2022,1,8,8,nan,nan
2022-01-09,2022,1,9,9,nan,nan
2022-01-10,2022,1,10,10,nan,nan
2022-01-11,2022,1,11,11,nan,nan
2022-01-12,2022,1,12,12,nan,nan
2022-01-13,2022,1,13,13,nan,nan
2022-01-14,2022,1,14,14,nan,nan
2022-01-15,2022,1,15,15,nan,nan
2022-01-16,2022,1,16,16,nan,nan
2022-01-17,2022,1,17,17,nan,nan
2022-01-18,2022,1,18,18,nan,nan
2022-01-19,2022,1,19,19,nan,nan
2022-01-20,2022,1,20,20,nan,nan
2022-01-21,2022,1,21,21,nan,nan
2022-01-22,2022,1,22,22,nan,nan
2022-01-23,2022,1,23,23,nan,nan
2022-01-24,2022,1,24,24,nan,nan
2022-01-25,2022,1,25,25,nan,nan
2022-01-26,2022,1,26,26,nan,nan
2022-01-27,2022,1,27,27,nan,nan
2022-01-28,2022,1,28,28,nan,nan
2022-01-29,2022,1,29,29,nan,nan
2022-01-30,2022,1,30,30,nan,nan
2022-01-31,2022,1,31,31,nan,nan
2022-02-01,2022,2,1,32,nan,nan
2022-02-02,2022,2,2,33,nan,nan
2022-02-03,2022,2,3,34,nan,nan
2022-02-04,2022,2,4,35,nan,nan
2022-02-05,2022,2,5,36,nan,nan
2022-02-06,2022,2,6,37,nan,nan
2022-02-07,2022,2,7,38,nan,nan
2022-02-08,2022,2,8,39,nan,nan
2022-02-09,2022,2,9,40,nan,nan
2022-02-10,2022,2,10,41,nan,nan
2022-02-11,2022,2,11,42,nan,nan
2022-02-12,2022,2,12,43,nan,nan
2022-02-13,2022,2,13,44,nan,nan
2022-02-14,2022,2,14,45,nan,nan
2022-02-15,2022,2,15,46,nan,nan
2022-02-16,2022,2,16,47,nan,nan
2022-02-17,2022,2,17,48,nan,nan
2022-02-18,2022,2,18,49,nan,nan
2022-02-19,2022,2,19,50,nan,nan
2022-02-20,2022,2,20,51,nan,nan
2022-02-21,2022,2,21,52,nan,nan
2022-02-22,2022,2,22,53,nan,nan
2022-02-23,2022,2,23,54,nan,nan
2022-02-24,2022,2,24,55,nan,nan
2022-02-25,2022,2,25,56,nan,nan
2022-02-26,2022,2,26,57,nan,nan
2022-02-27,2022,2,27,58,nan,nan
2022-02-28,2022,2,28,59,nan,nan
2022-03-01,2022,3,1,60,nan,nan
2022-03-02,2022,3,2,61,nan,nan
2022-03-03,2022,3,3,62,nan,nan
2022-03-04,2022,3,4,63,nan,nan
2022-03-05,2022,3,5,64,nan,nan
2022-03-06,2022,3,6,65,nan,nan
2022-03-07,2022,3,7,66,nan,nan
2022-03-08,2022,3,8,67,nan,nan
2022-03-09,2022,3,9,68,nan,nan
2022-03-10,2022,3,10,69,nan,0.000
2022-03-11,2022,3,11,70,nan,nan
2022-03-12,2022,3,12,71,nan,nan
2022-03-13,2022,3,13,72,nan,nan
2022-03-14,2022,3,14,73,0.838,nan
2022-03-15,2022,3,15,74,0.928,nan
2022-03-16,2022,3,16,75,0.963,nan
2022-03-17,2022,3,17,76,nan,nan
2022-03-18,2022,3,18,77,nan,nan
2022-03-19,2022,3,19,78,nan,nan
2022-03-20,2022,3,20,79,nan,nan
2022-03-21,2022,3,21,80,nan,nan
2022-03-22,2022,3,22,81,nan,nan
2022-03-23,2022,3,23,82,nan,nan
2022-03-24,2022,3,24,83,nan,nan
2022-03-25,2022,3,25,84,nan,nan
2022-03-26,2022,3,26,85,0.978,nan
2022-03-27,2022,3,27,86,0.917,nan
2022-03-28,2022,3,28,87,0.963,nan
2022-03-29,2022,3,29,88,nan,0.273
2022-03-30,2022,3,30,89,nan,0.000
2022-03-31,2022,3,31,90,nan,nan
2022-04-01,2022,4,1,91,nan,nan
2022-04-02,2022,4,2,92,nan,nan
2022-04-03,2022,4,3,93,nan,nan
2022-04-04,2022,4,4,94,nan,0.000
2022-04-05,2022,4,5,95,nan,nan
2022-04-06,2022,4,6,96,nan,nan
2022-04-07,2022,4,7,97,nan,nan
2022-04-08,2022,4,8,98,nan,nan
2022-04-09,2022,4,9,99,nan,nan
2022-04-10,2022,4,10,100,nan,nan
2022-04-11,2022,4,11,101,nan,nan
2022-04-12,2022,4,12,102,nan,nan
2022-04-13,2022,4,13,103,nan,nan
2022-04-14,2022,4,14,104,nan,nan
2022-04-15,2022,4,15,105,nan,nan
2022-04-16,2022,4,16,106,0.995,nan
2022-04-17,2022,4,17,107,nan,nan
2022-04-18,2022,4,18,108,nan,nan
2022-04-19,2022,4,19,109,nan,nan
2022-04-20,2022,4,20,110,0.948,nan
2022-04-21,2022,4,21,111,0.925,nan
2022-04-22,2022,4,22,112,0.877,nan
2022-04-23,2022,4,23,113,0.914,nan
2022-04-24,2022,4,24,114,0.890,nan
2022-04-25,2022,4,25,115,0.879,nan
2022-04-26,2022,4,26,116,0.891,nan
2022-04-27,2022,4,27,117,0.911,nan
2022-04-28,2022,4,28,118,0.912,nan
2022-04-29,2022,4,29,119,0.901,nan
2022-04-30,2022,4,30,120,0.878,nan
2022-05-01,2022,5,1,121,0.887,nan
2022-05-02,2022,5,2,122,0.898,nan
2022-05-03,2022,5,3,123,0.900,nan
2022-05-04,2022,5,4,124,0.895,nan
2022-05-05,2022,5,5,125,0.906,nan
2022-05-06,2022,5,6,126,0.892,nan
2022-05-07,2022,5,7,127,0.896,nan
2022-05-08,2022,5,8,128,0.896,nan
2022-05-09,2022,5,9,129,0.909,nan
2022-05-10,2022,5,10,130,0.885,nan
2022-05-11,2022,5,11,131,0.898,nan
2022-05-12,2022,5,12,132,0.892,nan
2022-05-13,2022,5,13,133,0.897,nan
