date,year,month,day,doy,alb,alb_rejected
2012-01-01,2012,1,1,1,nan,0.000
2012-01-02,2012,1,2,2,nan,0.000
2012-01-03,2012,1,3,3,nan,0.000
2012-01-04,2012,1,4,4,nan,0.000
2012-01-05,2012,1,5,5,nan,0.000
2012-01-06,2012,1,6,6,nan,0.000
2012-01-07,2012,1,7,7,nan,0.000
2012-01-08,2012,1,8,8,nan,0.000
2012-01-09,2012,1,9,9,nan,0.000
2012-01-10,2012,1,10,10,nan,0.000
2012-01-11,2012,1,11,11,nan,0.000
2012-01-12,2012,1,12,12,nan,0.000
2012-01-13,2012,1,13,13,nan,0.000
2012-01-14,2012,1,14,14,nan,0.000
2012-01-15,2012,1,15,15,nan,0.000
2012-01-16,2012,1,16,16,nan,0.000
2012-01-17,2012,1,17,17,nan,0.000
2012-01-18,2012,1,18,18,nan,0.000
2012-01-19,2012,1,19,19,nan,0.000
2012-01-20,2012,1,20,20,nan,0.000
2012-01-21,2012,1,21,21,nan,0.000
2012-01-22,2012,1,22,22,nan,0.000
2012-01-23,2012,1,23,23,nan,0.000
2012-01-24,2012,1,24,24,nan,0.000
2012-01-25,2012,1,25,25,nan,0.000
2012-01-26,2012,1,26,26,nan,0.000
2012-01-27,2012,1,27,27,nan,0.000
2012-01-28,2012,1,28,28,nan,0.000
2012-01-29,2012,1,29,29,nan,0.000
2012-01-30,2012,1,30,30,nan,0.000
2012-01-31,2012,1,31,31,nan,0.000
2012-02-01,2012,2,1,32,nan,0.000
2012-02-02,2012,2,2,33,nan,0.000
2012-02-03,2012,2,3,34,nan,0.000
2012-02-04,2012,2,4,35,nan,0.000
2012-02-05,2012,2,5,36,nan,0.000
2012-02-06,2012,2,6,37,nan,0.000
2012-02-07,2012,2,7,38,nan,0.000
2012-02-08,2012,2,8,39,nan,0.000
2012-02-09,2012,2,9,40,nan,0.000
2012-02-10,2012,2,10,41,nan,0.000
2012-02-11,2012,2,11,42,nan,0.000
2012-02-12,2012,2,12,43,nan,0.000
2012-02-13,2012,2,13,44,nan,0.000
2012-02-14,2012,2,14,45,nan,0.000
2012-02-15,2012,2,15,46,nan,0.000
2012-02-16,2012,2,16,47,nan,0.000
2012-02-17,2012,2,17,48,nan,0.000
2012-02-18,2012,2,18,49,nan,0.000
2012-02-19,2012,2,19,50,nan,0.000
2012-02-20,2012,2,20,51,nan,0.000
2012-02-21,2012,2,21,52,nan,0.000
2012-02-22,2012,2,22,53,nan,0.000
2012-02-23,2012,2,23,54,nan,0.000
2012-02-24,2012,2,24,55,nan,0.000
2012-02-25,2012,2,25,56,nan,0.000
2012-02-26,2012,2,26,57,nan,0.000
2012-02-27,2012,2,27,58,nan,0.000
2012-02-28,2012,2,28,59,nan,0.000
2012-02-29,2012,2,29,60,nan,0.000
2012-03-01,2012,3,1,61,nan,0.000
2012-03-02,2012,3,2,62,nan,0.000
2012-03-03,2012,3,3,63,nan,0.000
2012-03-04,2012,3,4,64,nan,0.000
2012-03-05,2012,3,5,65,nan,0.000
2012-03-06,2012,3,6,66,nan,0.000
2012-03-07,2012,3,7,67,nan,0.000
2012-03-08,2012,3,8,68,nan,0.000
2012-03-09,2012,3,9,69,nan,0.000
2012-03-10,2012,3,10,70,nan,0.000
2012-03-11,2012,3,11,71,nan,0.000
2012-03-12,2012,3,12,72,nan,0.000
2012-03-13,2012,3,13,73,nan,0.000
2012-03-14,2012,3,14,74,nan,0.000
2012-03-15,2012,3,15,75,nan,0.000
2012-03-16,2012,3,16,76,nan,0.000
2012-03-17,2012,3,17,77,nan,0.000
2012-03-18,2012,3,18,78,nan,0.000
2012-03-19,2012,3,19,79,nan,0.000
2012-03-20,2012,3,20,80,nan,0.000
2012-03-21,2012,3,21,81,nan,0.000
2012-03-22,2012,3,22,82,nan,0.000
2012-03-23,2012,3,23,83,nan,0.000
2012-03-24,2012,3,24,84,nan,0.000
2012-03-25,2012,3,25,85,nan,0.000
2012-03-26,2012,3,26,86,nan,0.000
2012-03-27,2012,3,27,87,nan,0.000
2012-03-28,2012,3,28,88,nan,0.000
2012-03-29,2012,3,29,89,nan,0.000
2012-03-30,2012,3,30,90,nan,0.000
2012-03-31,2012,3,31,91,nan,0.000
2012-04-01,2012,4,1,92,nan,0.000
2012-04-02,2012,4,2,93,nan,0.000
2012-04-03,2012,4,3,94,nan,0.000
2012-04-04,2012,4,4,95,nan,0.000
2012-04-05,2012,4,5,96,nan,0.000
2012-04-06,2012,4,6,97,nan,0.000
2012-04-07,2012,4,7,98,nan,0.000
2012-04-08,2012,4,8,99,nan,0.000
2012-04-09,2012,4,9,100,nan,0.000
2012-04-10,2012,4,10,101,nan,0.000
2012-04-11,2012,4,11,102,nan,0.000
2012-04-12,2012,4,12,103,nan,0.000
2012-04-13,2012,4,13,104,nan,0.000
2012-04-14,2012,4,14,105,nan,0.000
2012-04-15,2012,4,15,106,nan,0.000
2012-04-16,2012,4,16,107,nan,0.000
2012-04-17,2012,4,17,108,nan,0.000
